0,1,2,3,4,5
Koenigsegg,CCXR Trevita,2009,Targa,Sweden,Limited to two units
Koenigsegg,CC850,2023,Targa,Sweden,"Limited to 50 units, to celebrates Christian von Koenigsegg's 50th birthday, as well as the 20th anniversary of the CC8S' debut."
Koenigsegg,Agera,2011–2018,Targa,Sweden,
Koenigsegg,Agera R,2012–2018,Targa,Sweden,
Koenigsegg,Agera S,2013–2018,Targa,Sweden,
Koenigsegg,Agera RS,2015–2018,Targa,Sweden,Limited production
Koenigsegg,One:1,2014,Targa,Sweden,Limited production
Koenigsegg,Regera,2015–2022,Targa,Sweden,Limited to 80 units
Koenigsegg,Jesko,2021-present,Coupé,Sweden,Limited to 125 units
Koenigsegg,Jesko Absolut,2022-present,Coupé,Sweden,
Koenigsegg,Gemera,2021-present,Coupé,Sweden,Limited to 300 units
KTM,X-Bow,2008–present,Roadster,Austria,
KTM,X-Bow GT4,2015–present,Coupé,Austria,Racecar
KTM,X-Bow GT-XR,2023,Coupé,Austria,Limited production
Lamborghini,350 GT,1964-1966,Coupé,Italy,First production vehicle produced by Lamborghini and designed by Carrozzeria Touring
Lamborghini,400 GT,1966-1968,Coupé,Italy,
Lamborghini,Islero,1968-1969,Coupé,Italy,
Lamborghini,Espada,1968-1978,Coupé,Italy,
Lamborghini,Jarama,1970-1976,Coupé,Italy,
Lamborghini,Miura,1966-1973,"Roadster, Coupé",Italy,Limited to 763 units
Lamborghini,Miura SVR,1976,Coupé,Italy,"One-off model, restored by Lamborghini Polo Storico"
Lamborghini,Urraco,1973-1979,Coupé,Italy,
Lamborghini,Silhouette,1976-1979,Targa,Italy,
Lamborghini,Countach,1974-1990,Coupé,Italy,
Lamborghini,Countach LPI 800-4,2022,Coupé,Italy,Limited to 112 units planned to be produced
Lamborghini,Jalpa,1981-1988,Roadster,Italy,
Lamborghini,Diablo VT,1990-2001,"Roadster, Coupé",Italy,
Lamborghini,Diablo SE30/ SE30 Jota,1993,Coupé,Italy,Limited production special model to commemorate the company's 30th anniversary
Lamborghini,Diablo SV,1995-2001,Coupé,Italy,
Lamborghini,Diablo GT/GTR,1998-2001,Coupé,Italy,
Lamborghini,Murciélago,2002-2009,"Roadster, Coupé",Italy,
Lamborghini,Murciélago LP670-4 SuperVeloce,2009,Coupé,Italy,Limited production
Lamborghini,Reventón,2006-2009,"Roadster, Coupé",Italy,Limited to 35 units
Lamborghini,Gallardo,2003-2013,"Roadster, Coupé",Italy,
Lamborghini,Gallardo LP570-4 Superleggera,2010-2013,Coupé,Italy,Limited production
Lamborghini,5-95 Zagato,2014,Coupé,Italy,One-off model
Lamborghini,Sesto Elemento,2011,Coupé,Italy,Limited to 20 units
Lamborghini,Huracán LP610-4,2015–2019,"Spyder, Coupé",Italy,
Lamborghini,Huracán Performante,2017–2019,"Spyder, Coupé",Italy,Limited production
Lamborghini,Huracán GT3/ GT3 EVO,2015,Coupé,Italy,Racecar
Lamborghini,Huracán EVO,2019-2024,"Spyder, Coupé",Italy,
Lamborghini,Huracán Super Trofeo EVO2,2021,Coupé,Italy,Racecar
Lamborghini,Huracán STO,2021–2024,Coupé,Italy,"Limited production, track-focused supercar"
Lamborghini,Huracán Tecnica,2022-2024,Coupé,Italy,Limited production
Lamborghini,Huracán Sterrato,2023-present,Coupé,Italy,"All-Terrain super sports car, limited production"
Lamborghini,Huracán STJ,2024,Coupé,Italy,"Final V10 supercar, limited to 10 units"
Lamborghini,Temerario,2025,Coupé,Italy,
Lamborghini,Estoque,2008,4-door Sports Sedan,Italy,Concept car
Lamborghini,Aventador LP700-4,2011–2017,"Roadster, Coupé",Italy,
Lamborghini,Aventador LP750-4 SuperVeloce,2015–2017,"Roadster, Coupé",Italy,Limited production
Lamborghini,Veneno,2013-2014,"Roadster, Coupé",Italy,"One of the most expensive production cars in the world, limited to 9 units (Roadster) and 5 units (Coupé)"
Lamborghini,Asterion LPI 910-4,2014,Coupé,Italy,Concept car
Lamborghini,Aventador S,2017–2021,"Roadster, Coupé",Italy,
Lamborghini,Aventador SVJ,2019-2021,"Roadster, Coupé",Italy,Limited production
Lamborghini,Aventador LP780-4 Ultimae,2021-2022,"Roadster, Coupé",Italy,"Limited production, a celebration of the iconic V12 super sports car and combustion engine in a final production model"
Lamborghini,SC18 Alston,2018,Coupé,Italy,"One-off model, custom-built by Lamborghini's Racing division Squadra Corse"
Lamborghini,Essenza SCV12,2020,Coupé,Italy,"Limited to 40 units, track-only sports car developed by Lamborghini's Racing division Squadra Corse"
Lamborghini,Centenario,2016-2018,"Roadster, Coupé",Italy,Limited production
Lamborghini,Sián FKP 37,2020-2021,"Roadster, Coupé",Italy,Lamborghini's first hybrid sports car limited to 63 units (Coupé) and 19 units (Roadster)
Lamborghini,SC20,2021,Speedster,Italy,"One-off model, custom-built by Lamborghini's Racing division Squadra Corse"
Lamborghini,Invencible,2023,Coupé,Italy,"One-off model, to mark end of pure V-12 era"
Lamborghini,Autentica,2023,Roadster,Italy,"One-off model, to mark end of pure V-12 era"
Lamborghini,Revuelto,2024,Coupé,Italy,Lamborghini's first V12 hybrid plug-in HPEV (High Performance Electrified Vehicle)
Lamborghini,SC63,2024,Coupé,Italy,LMDh Racecar
Lancia,Stratos,1973-1978,Coupé,Italy,
Lancia,Lancia Montecarlo,1975-1978 and 1980-1981,Coupé,Italy,
Laraki,Fulgura,2004-2005,Coupé,Morocco,Limited production
Laraki,Borac,2005,Coupé,Morocco,Concept car
Laraki,Epitome,2013,Coupé,Morocco,Concept car
Leblanc,Caroline GTR,1999-2005,Coupé,Switzerland,Limited production
Leblanc,Mirabeau,,Speedster,Switzerland,Limited production
Lexus,LC 500/500h,2016–present,"Coupé, Convertible",Japan,
Lexus,LFA,2011-2012,Coupé,Japan,Limited to 500 units
Lexus,LFA Nürburgring Edition,2011-2012,Coupé,Japan,Limited to 64 units
Lexus,LFR,2026,Coupé,Japan,
Lexus,RC F,2014–present,Coupé,Japan,
Lexus,RC F Track Edition,2020-,Coupé,Japan,Limited production
Lexus,SC,1991-2005,"Coupe, Convertible",Japan,"Also Called ""Toyota Soarer"" Since 1991-2005"
Lightning,GT,2007,Coupé,United Kingdom,
Lobini,H1,2005-2013,Coupè,Brazil,
Lotec,C1000,1995,Coupé,Germany,One-off model
Lotec,Sirius,2002-2005,Coupé,Germany,Limited production
Lotus,Elite,"1958-1963, 1974-1982","Coupé, Shooting Brake",United Kingdom,
Lotus,Eclat,1975-1982,Coupé,United Kingdom,
Lotus,Elan (M100),1990-1995,Roadster,United Kingdom,
Lotus,Elise,1994–present,Roadster,United Kingdom,
Lotus,Elise GT1,1997,"Coupé, Racecar",United Kingdom,Limited production
Lotus,Esprit,1976–2004,Coupé,United Kingdom,
Lotus,340R,1999-2001,Roadster,United Kingdom,Limited production
Lotus,Exige,2000–2021,Roadster,United Kingdom,
Lotus,Evora,2009–2021,Coupé,United Kingdom,
Lotus,2-Eleven,2007-2011,Coupé,United Kingdom,
Lotus,3-Eleven,2015-2021,Speedster,United Kingdom,
Lotus,Europa,1966–1975,Coupé,United Kingdom,
Lotus,Evija,2020-present,Coupé,United Kingdom,"The first British all-electric hypercar codenamed ""Type 130"", limited to 130 units"
Lotus,Emira,2022-present,Coupé,United Kingdom,
Lotus,Emira GT4,2022,Coupé,United Kingdom,Track car
Lucid,Air Sapphire,2023-present,Electric sports sedan,United States,Limited Production
Lucra,LC470,2013-,Convertible,United States,
Automobili Maggiore,GranTurismO,2023,Coupé,Italy,"Planned to build 19 units, based on Ferrari 308 GTB"
Marc Philipp Gemballa GmbH,Marsien,2022-present,Coupé,Germany,Limited to 40 units
Marcos,GT,"1964-1972, 1981-1990",Coupé,England,
Marcos,Mantara,1992-1997,"Coupé, Roadster",England,
Marcos,Mantis,"1968-1971, 1997-1998","Coupé, Roadster",England,
Marcos,TSO GT2,2004-2007,Coupé,England,
Maserati,"A6GCS ""Monofaro""",1947-1952,Spyder,Italy,
Maserati,A6G 2000 Pinin Farina,1950-1951,Coupé,Italy,
Maserati,A6GCS Berlinetta,1953-1955,Coupé,Italy,
Maserati,A6G/54 Zagato,1954-1956,Coupé,Italy,
Maserati,A6G/54 GranSport Frua Spyder,1954-1956,Spyder,Italy,
Maserati,300S,1955-1958,Convertible,Italy,Racecar
Maserati,Tipo 60/61,1959-1961,Spyder,Italy,"Also called ""Maserati Birdcage"""
Maserati,3500 GT,1957-1964,"Coupé, Spyder",Italy,
Maserati,Sebring,1962-1968,Coupé,Italy,
Maserati,5000 GT,1959-1966,Coupé,Italy,Only 34 units were produced
Maserati,Mistral,1963-1970,"Coupé, Spyder",Italy,
Maserati,Bora,1971-1978,Coupé,Italy,
Maserati,Ghibli,"1967-1973, 1992–1998, 2013-2024","Coupé, Spyder, Sedan",Italy,
Maserati,Indy,1969-1975,Coupé,Italy,
Maserati,Khamsin,1974-1982,Coupé,Italy,
Maserati,Merak,1972-1983,Coupé,Italy,
Maserati,Shamal,1989-1996,Coupé,Italy,
Maserati,3200 GT,1998-2002,Coupé,Italy,
Maserati,GranSport,2004-2007,"Roadster, Coupé",Italy,
Maserati,MC12,2004-2005,"Coupé, Targa",Italy,Limited production
Maserati,Birdcage 75th,2005,Coupé,Italy,Concept car
Maserati,MC20,2021-present,Coupé,Italy,
Maserati,MC20 Cielo,2023-present,Convertible,Italy,
Maserati,GT2,2024,Coupé,Italy,Race car
Maserati,GT2 Stradale,2025,Coupé,Italy,
Maserati,MCXtrema,2024,Coupé,Italy,"Track car only, limited to 62 units"
Maserati,GranTurismo,"2007-2019, 2023",Coupé,Italy,
Maserati,GranCabrio,"2010-2019, 2024",Cabriolet,Italy,
Maserati,GranTurismo Folgore,2023,Coupé,Italy,All-electric version of Maserati's GT
Maserati,GranCabrio Folgore,2024,Cabriolet,Italy,All-electric version of Maserati's GT
Mastretta,MXT,2011-2014,Coupé,Mexico,
Marussia,B1/B2,2009-2014,Coupé,Russia,
Manifattura Automobili Torino (MAT),New Stratos,2020-,Coupé,Italy,Limited production
Matra,Djet,1965-1967,Coupé,France,
Maxton,Rollerskate,1992-1994,Roadster,United States,"Rotary engine, 50 or 51 built"
Maybach,Exelero,2005,Coupé,,One-off Concept car
Mazda,Cosmo,1967-1996,Coupé,Japan,
Mazda,MX-3,1992-1998,Coupé,Japan,"Also called ""Eunos 30X"""
Mazda,MX-5,1989–present,Roadster,Japan,
Mazda,MX-5 RF,2016–present,"Targa, Fastback",Japan,
Mazda,MX-6,1988-1997,Coupé,Japan,
Mazda,RX-7,1978-2002,"Roadster, Coupé",Japan,
Mazda,RX-8,2003-2012,Coupé,Japan,
Mazzanti,Evantra,2013–present,Coupé,Italy,
McLaren,F1,1992-1997,Supercar,United Kingdom,
McLaren,F1 LM,1995,Supercar,United Kingdom,Limited production
McLaren,F1 GTR,1995-1997 (all versions),"Supercar, Racecar",United Kingdom,Limited production
McLaren,MP4-12C GT3,2010,Racecar,United Kingdom,
McLaren,12C,2011–2014,"Coupé, Convertible",United Kingdom,
McLaren,X-1,2012,Coupé,United Kingdom,One-off model built by McLaren Special Operations (MSO)
McLaren,650S,2014-2016,"Coupé, Convertible",United Kingdom,Similar as McLaren 625C
McLaren,650S Can-Am,2015-2016,Convertible,United Kingdom,Limited to 50 units
McLaren,650S GT3,2015,Racecar,United Kingdom,
McLaren,MSO HS,2016,Coupé,United Kingdom,Limited production
McLaren,675LT,2016-2017,"Coupé, Convertible",United Kingdom,
McLaren,MSO R,2016-2017,"Coupé, Convertible",United Kingdom,Limited production
McLaren,570S,2016–2021,"Coupé, Convertible",United Kingdom,Similar as McLaren 540C
McLaren,570GT,2016–2019,Coupé,United Kingdom,
McLaren,570S GT4,2016,Coupé,United Kingdom,Track car only
McLaren,570S Sprint,2016,Coupé,United Kingdom,Track car only
McLaren,MSO X,2018,Coupé,United Kingdom,Limited to 10 units
McLaren,600LT,2018–2021,"Coupé, Convertible",United Kingdom,
McLaren,620R,2020-2021,Coupé,United Kingdom,Limited to 225 units
McLaren,P1/ P1 GTR,2013-2017,"Supercar, Racecar",United Kingdom,Limited production
McLaren,P1 LM,2016-2017,Supercar,United Kingdom,Limited production
McLaren,P1 Spider by Lanzante,2022,Convertible,United Kingdom,Limited to five units
McLaren,W1,2025,Coupé,United Kingdom,Limited Production
McLaren,720S,2017–2022,"Coupé, Convertible",United Kingdom,
McLaren,720S GT3,2019,Coupé,United Kingdom,Racecar
McLaren,720S Le Mans,2020-2022,Coupé,United Kingdom,"Limited to 50 units, to marks McLaren's win at the famous 24-hour Le Mans race in 1995"
McLaren,765LT,2020-2022,"Coupé, Convertible",United Kingdom,
McLaren,750S,2024,"Coupé, Convertible",United Kingdom,
McLaren,Senna,2018–2019,Coupé,United Kingdom,Limited to 500 units
McLaren,Senna GTR,2019,Coupé,United Kingdom,"Track car only, limited to 75 units"
McLaren,Senna GTR LM,2020,Coupé,United Kingdom,"Track car only, limited to five units"
McLaren,Senna Le Mans,2020,Coupé,United Kingdom,Limited to 20 units
McLaren,Sabre by MSO,2021,Coupé,United Kingdom,"Limited to 15 units, which is  exclusive to US market"
McLaren,Speedtail,2020-,Coupé,United Kingdom,Limited to 106 units
McLaren,GT,2019-2023,Coupé,United Kingdom,
McLaren,GTS,2024,Coupé,United Kingdom,
McLaren,Elva,2020,Open-top Speedster,United Kingdom,Limited to 149 units
McLaren,Artura,2021-present,Coupé,United Kingdom,First twin-turbo V6 hybrid supercar
McLaren,Artura Spider,2024,Convertible,United Kingdom,
McLaren,Artura GT4,2022,Coupé,United Kingdom,Track car
McLaren,Solus GT,2023,Coupé,United Kingdom,"Track car only, limited to 25 units"
Mega,Monte Carlo,1996-1999,Coupé,France,
Melkus,RS 1000,1969-1979,Coupé,Germany,
Mercedes-AMG,C63/C63 S (W205),2016–2023,"Coupé, Cabriolet, Sedan, Touring",Germany,
Mercedes-AMG,CLE 53/ 63,2024,"Coupé, Cabriolet",Germany,
Mercedes-AMG,CLS 53,2018–2023,4-door Coupé,Germany,
Mercedes-AMG,E53 (W213),2018–2023,"Sedan, Cabriolet, Coupé",Germany,
Mercedes-AMG,E43/E63/E63 S (W213),2017–2023,"Sedan, Touring",Germany,
Mercedes-AMG,GT3,2015–present,Coupé,Germany,Racecar
Mercedes-AMG,GT3 Edition 55,2022,Coupé,Germany,Limited to five units
Mercedes-AMG,GT/GT C,2016–2022,"Roadster, Coupé",Germany,
Mercedes-AMG,GT S,2015–2020,"Roadster, Coupé",Germany,
Mercedes-AMG,GT R,2016–2022,"Roadster, Coupé",Germany,
Mercedes-AMG,GT R Pro,2019-2022,Coupé,Germany,Limited production
Mercedes-AMG,GT Black Series,2020-present,Coupé,Germany,Limited production
Mercedes-AMG,GT 4-door Coupé,2018–2024,4-door Coupé,Germany,
Mercedes-AMG,GT (C192),2024,Coupé,Germany,
Mercedes-AMG,SL (R232),2022-present,Roadster,Germany,
Mercedes-AMG,One,2022-present,Coupé,Germany,Limited to 275 units
Mercedes-AMG,S 63/ S 65,2013–2020,"Coupé, Cabriolet, Sedan",Germany,
Mercedes-Benz,C111/II,1969-1970,Coupé,Germany,Concept car
Mercedes-Benz,C112,1991,Coupé,Germany,Concept car
Mercedes-Benz,190E 2.5-16 Evolution II,1990-1991,Sports Sedan,Germany,Limited Production
Mercedes-Benz,C63 (W204),2008-2014,"Sedan, Touring",Germany,
Mercedes-Benz,C63 AMG Coupe Black Series,2012-2013,Coupé,Germany,Limited production
Mercedes-Benz,CL,1992-2014,Coupé,Germany,
Mercedes-Benz,CLK,1997–2009,"Coupé, Cabriolet",Germany,
Mercedes-Benz,CLK63 AMG Black Series,2007–2009,Coupé,Germany,Limited production
Mercedes-Benz,CLK DTM AMG,2004-2006,"Coupé, Cabriolet",Germany,Limited to 180 units
Mercedes-Benz,CLK-GTR,1997-2002,"Roadster, Coupé",Germany,Limited production
Mercedes-Benz,CLE,2023,"Coupé, Cabriolet",Germany,
Mercedes-Benz,300 SL (W198),1954–1963,"Roadster, Coupé",Germany,"""Gullwing"" doors"
Mercedes-Benz,230/250/280 SL (W113),1963-1971,"Roadster, Coupé",Germany,
Mercedes-Benz,SL (R107/C107),1972-1989,"Roadster, Coupé",Germany,
Mercedes-Benz,SL (R129),1989-2002,"Roadster, Coupé",Germany,
Mercedes-Benz,SL73 AMG (R129),1995-1996,Roadster,Germany,Limited production
Mercedes-Benz,SL (R230/R231),2002-2019,Roadster,Germany,
Mercedes-Benz,SL65 AMG Black Series,2008-2011,Coupé,Germany,Limited to 350 units
Mercedes-Benz,SLK,"1996-2004, 2004–2010, 2011–2015",Roadster,Germany,
Mercedes-Benz,SLK55 AMG Black Series,2006-2008,Roadster,Germany,Limited to 100 units
Mercedes-Benz,SLC,2016-2019,Roadster,Germany,
Mercedes-Benz,SLR McLaren,2003-2010,"Coupé, Roadster",Germany,
Mercedes-Benz,SLR McLaren 722 S,2006-2010,"Coupé, Roadster",Germany,Limited production
Mercedes-Benz,SLR Stirling Moss,2009,Speedster,Germany,Limited to 75
Mercedes-Benz,SLS AMG,2011-2015,"Coupé, Roadster",Germany,
Mercedes-Benz,SLS AMG GT3,2011-2015,Coupé,Germany,Racecar
Mercedes-Benz,SLS AMG Black Series,2014-2015,Coupé,Germany,
MG,14/28,1924-1927,Roadster,England,
MG,14/40,1927-1929,Roadster,England,
MG,C-type,1931-1932,Roadster,England,
MG,D-type,1931-1932,Roadster,England,
MG,MGF,1995-2002,Roadster,England,
MG,F-type,1931-1932,Roadster,England,
MG,"J1, J2, J3, J4",1932-1934,Roadster,England,
MG,K-type,1932-1934,Roadster,England,
MG,L-type,1933-1934,Roadster,England,
MG,M-type,1929-1932,Roadster,England,
MG,N-type,1934-1936,Roadster,England,
MG,MGA,1955-1962,"Roadster, Coupé",England,
MG,MGB,1962-1980,"Roadster, GT Fastback Coupé",England,
MG,MGC,1962-1980,Roadster,England,
MG,Midget,1961-1979,Roadster,England,
MG,PA,1934-1936,Roadster,England,
MG,PB,1935-1936,Roadster,England,
MG,TA,1936-1939,Roadster,England,
MG,TB,1939-1940,Roadster,England,
MG,TC,1945-1950,Roadster,England,
MG,TD,1950-1953,Roadster,England,
MG,TF,1953-1955,Roadster,England,
MG,TF (2002),"2002-2005, 2007-2011",Roadster,England,
MG,XPower SV-R,2003-2005,Coupé,United Kingdom/ Italy,
MG,Cyberster EV,2024,Roadster,China/ United Kingdom,
Mitsubishi,Starion,1983-1989,Coupé,Japan,
Mitsubishi,Eclipse,1989-2012,"Coupé, Convertible",Japan,
Mitsubishi,GTO,1990-2000,Coupé,Japan,"Also called ""Mitsubishi 3000 GT"""
Mitsubishi,FTO,1994-2000,Coupé,Japan,
Mitsubishi,Lancer Evolution,1992-2016,"Sedan , Station wagon",Japan,Also Compact Sports
Mitsuoka,Orochi,2006-2014,Coupé,Japan,
Mitsuoka,Himiko,2008–present,Roadster,Japan,
Mitsuoka,Rock Star,2018–present,Roadster,Japan,Limited to 50 units
Montecarlo,GTB Centenaire,1990-1992,Coupe,Monaco,
Monteverdi,Hai 450 SS Prototype,"1970, 1973",Coupé,Switzerland,Limited to two units
Monteverdi,Hai 650 F1 Prototype,1992,Supercar,Switzerland,Limited to three units
Morgan,Plus 4,1950-1969,Roadster,England,
Morgan,Aero 8,"2001-2010, 2015–present",Roadster,England,
Morgan,Aeromax,2008-2009,Coupe,England,Limited production
Morgan,Roadster,2004–present,Roadster,England,Available as a 2-seater or a 4-seater
Morgan,Plus 8,"1968-2004, 2012–present",Roadster,England,
Morgan,Plus 8 GTR,2022,Coupé,England,Limited to Nine units
Morgan,Aero Supersports,2010-2015,Targa,England,
Morgan,Aero Coupé,2012-2015,Coupé,England,
Morgan,3 Wheeler/ EV3,2012–present,Roadster,England,
Morgan,Aero GT,2018–present,Coupé,England,
Morgan,Plus Six,2019–present,Roadster,England,
Morgan,Plus Four,2020-present,Roadster,England,
Morgan,Midsummer,2024,Roadster,England,"Limited to 50 units, designed by Pininfarina"
Mosler,MT900S,2001-2011,Coupé,United Kingdom/ United States,
MTX Tatra,V8,1991,Coupé,Czech Republic,
