0,1,2,3,4,5
Nio,EP9,2016–present,Coupé,China/United Kingdom,Electric sports car
Nilu27,NILU V12,2025,Coupé,,"Limited production, a new brand created by ex-chief designer of Koenigsegg - Sasha Selipanov"
Nissan,Datsun Roadster/Road Star,1932-1941,"Roadster, Coupé",Japan,
Nissan,Datsun DC-3,1952,Roadster,Japan,
Nissan,Datsun Sports 1000,1959-1960,Roadster,Japan,
Nissan,Datsun Fairlady/Sports 1200,1960-1962,Roadster,Japan,engine change
Nissan,Datsun Fairlady/Sports 1500,1963-1965,Roadster,Japan,
Nissan,Datsun Fairlady/Sports 1600,1965-1970,Roadster,Japan,
Nissan,Datsun Fairlady/Sports 2000,1967-1970,Roadster,Japan,
Nissan,Fairlady Z/Datsun 240Z,1970-1973,Coupé,Japan,
Nissan,Fairlady Z/Datsun 260Z,1974-1978,Coupé and 2+2,Japan,
Nissan,Fairlady Z/Datsun 280Z,1975-1978,Coupé and 2+2,Japan,North America only
Nissan,Fairlady Z/Datsun 280ZX,1978-1983,Coupé and 2+2,Japan,North America and Australia only
Nissan,180SX,1989-1998,Coupé,Japan,
Nissan,240SX,1989-1998,Coupé,Japan,
Nissan,NISMO 270R,1994-1995,Coupé,Japan,Limited to 30 units
Nissan,Silvia,"1965-1968, 1975-2002",Coupé,Japan,
Nissan,Fairlady Z/300ZX,1984-1996,Coupé,Japan,
Nissan,Fairlady Z/350Z,2003-2008,"Roadster, Coupé",Japan,
Nissan,Fairlady Z/370Z,2009–2020,"Roadster, Coupé",Japan,
Nissan,Z,2022-present,Coupé,Japan,
Nissan,Figaro,1991,Roadster,Japan,
Nissan,Leopard,1980-1992,Coupe,Japan,only F30 Coupe And F31 Only is Sport car
Nissan,NX,1990-1996,"Coupe, Targa Top",Japan,
Nissan,R390 GT1,1997-1999,Racecar,Japan,
Nissan,Skyline,1968-2014,Coupe,Japen,Only Coupe Body Style
Nissan,Skyline GT-R,"1969–1973, 1989-2002",Coupé,Japan,
Nissan,NISMO 400R (R33),1995-1998,Coupé,Japan,Only 44 units to be produced
Nissan,GT-R,2007–present,Coupé,Japan,
Nissan,GT-R NISMO,2014–present,Coupé,Japan,
Noble,M10,1999-2000,Convertible,England,
Noble,M12,2000,Coupé,South Africa,
Noble,M15,2006-2011,Coupé,England,
Noble,M400,2004-2007,Coupé,England,
Noble,M500,2022-present,Coupé,England,
Noble,M600,2010–present,"Coupé, Speedster",England,
Opel,Calibra,1989-1997,Coupé,Germany,
Opel,CD,1969,Coupé,Germany,Concept car
Opel,GT,"1968-1973, 2007-2010","Coupé, Roadster",Germany,
Opel,Manta,1970-1988,Coupé,Germany,
Opel,Speedster,2001-2005,Roadster,Germany,"Also called ""Vauxhall VX220"" in United Kingdom"
Opel,Astra OPC,2005-2010,Coupé,Germany,"Also called ""Vauxhall Astra VXR"" in United Kingdom"
Opel,Cascada,2013-2019,Convertible,Germany,"Also called ""Vauxhall Cascada"" (UK), ""Buick Cascada"" or ""Holden Cascada"""
Orca,113 Series,2004-2007,"Coupé, Roadster",Liechtenstein,
Orca,SC7,2005,Coupé,Liechtenstein,Limited to seven units
Pagani,Huayra,2012–2020,"Coupé, Roadster",Italy,Limited to 100 units (Coupé) and 100 units (Roadster)
Pagani,Huayra BC,2016–2022,"Coupé, Roadster",Italy,Limited to 20 units (Coupé) and 40 units (Roadster)
Pagani,Huayra Tricolore,2020–2022,Roadster,Italy,Limited to three units
Pagani,Huayra R,2021-present,Coupé,Italy,"Track car only, limited to 30 units"
Pagani,Huayra R Evo,2024,Targa,Italy,"Track car only, limited production"
Pagani,Imola,2020-present,"Coupé, Roadster",Italy,Limited to five units (Coupé) and eight units (Roadster)
Pagani,Huayra Codalunga,2022,Coupé,Italy,Limited to five units
Pagani,Utopia,2023-present,"Coupé, Roadster",Italy,Limited to 99 units (Coupé) and 130 units (Roadster)
Pagani,Zonda,1999-2017,"Coupé, Roadster",Italy,
Pagani,Zonda F,2005-2017,"Coupé, Roadster",Italy,Limited to 25 units (Coupé) and 25 units (Roadster)
Pagani,Zonda R,2008-2009,Racecar,Italy,"Track car only, limited to 15 units"
Pagani,Zonda Cinque,2009-2010,"Coupé, Roadster",Italy,Limited to five units (Coupé) and five units (Roadster)
Pagani,Zonda Revolución,2014,Racecar,Italy,Final edition of Pagani Zonda R
Pagani,Zonda Tricolore,2010,Coupé,Italy,"One-off model, to celebrate the 50th Anniversary of Frecce Tricolori, Italy's aerobatic team."
Pagani,Zonda HP Barchetta,2017,Speedster,Italy,Limited to three units
Pambuffetti,PJ-01,2021,Coupe,Italy,
Panoz,Roadster,"1992-1995, 1996-1999",Roadster,United States,Derived from the TMC Costin
Panoz,Esperante,2000-2007,"Roadster, Coupé",United States,
Panoz,Abruzzi,2010-2013,Coupé,United States,Limited to 81 units
Panoz,Avezzano,2017,Coupé,United States,
Peugeot,RC Z,2009-2015,Coupé,France,
Peugeot,308 GTi,2015–2021,Hatchback,France,
Peugeot,208 GTi,2014–2019,Hatchback,France,
Picasso,PS-01,2021,Coupè,Switzerland,
Pininfarina,H2 Speed,2017,Hydrogen-powered Racecar,Italy,Concept car
Pininfarina,Fittipaldi EF7,2017,Coupé,Italy,"Concept car, only 39 units planned to produce"
Pininfarina,Battista,2021-present,Coupé,Italy,"Electric hypercar, limited to 150 units"
Pininfarina,Battista Targamerica,2025,Targa,Italy,One-off model
Pininfarina,B95,2025,Open-top Speedster,Italy,"Electric hyper Barchetta, limited to 10 units"
Plymouth,Barracuda,1964-1974,"Fastback, Coupé, Convertible",United States,Source car for original Dodge Challenger
Plymouth,GTX,1968-1971,"Coupé, Convertible",United States,
Plymouth,Road Runner,1968-1974,"Coupé, Convertible",United States,Includes 1970 Plymouth Superbird
Polestar,1,2019-,Coupé,Sweden,
Pontiac,Fiero,1984-1988,Coupé,United States,
Pontiac,Firebird,1967–2002,"Coupé, Convertible",United States,Also known as the Pontiac Trans Am
Pontiac,GTO,"1964–1974, 2004–2006",Coupe,"United States, Australia",Also known as the Holden Monaro
Pontiac,Solstice,2006–2009,"Roadster, Coupé",United States,More powerful version of the Saturn variant
Porsche,356,1948–1965,"Roadster, Coupé",Germany,
Porsche,550,1953-1956,"Spyder, Coupé",Germany,
Porsche,718,1957,"Roadster, Coupé",Germany,
Porsche,904,1964-1965,Coupé,Germany,Also known as the Carrera GTS
Porsche,912,1965 – 1969,"Targa, Coupé",Germany,
Porsche,914,1969–1976,Targa,Germany,
Porsche,917 K,1970–1971,Coupé,Germany,"Racing car, limited to 12 units"
Porsche,924,1976–1988,Coupé,Germany,
Porsche,928,1977–1995,Coupé,Germany,
Porsche,930,1975-1989,"Coupé, Cabriolet",Germany,Also known as Porsche 911 Turbo
Porsche,935,"1976-1981, 2019",Coupé,Germany,"Racing car, limited production"
Porsche,944,1982–1991,"Coupé, Cabriolet",Germany,
Porsche,959,"1986-1988, 1992-1993",Coupé,Germany,Porsche 959 S is only 29 units to be built
Porsche,964,1989–1994,"Coupé, Cabriolet, Targa",Germany,Also known as Porsche 911
Porsche,968,1992–1995,"Coupé, Cabriolet",Germany,Successor to Porsche 944
Porsche,993,1993–1998,"Coupé, Cabriolet, Targa",Germany,Also known as Porsche 911
Porsche,Carrera RS,1995-1996,Coupé,Germany,
Porsche,911 Speedster,1995-1996,Cabriolet,Germany,Limited production
Porsche,Dauer 962 Le Mans,1993-1997,Coupé,Germany,Limited to 13 units
Porsche,Schuppan 962CR,1992-1994,Coupé,Germany,"Limited to six units, built from Australian racecar driver Vern Schuppan"
Porsche,911 GT1,1996-1998,Coupé,Germany,Racecar
Porsche,919 Hybrid/ Evo,2014–2018,Coupé,Germany,Racecar
Porsche,911 GT3 R,2016-present,Coupé,Germany,Racecar
Porsche,996,1997-2004,"Coupé, Cabriolet, Targa",Germany,Also known as Porsche 911
Porsche,997,2004–2012,"Coupé, Cabriolet, Targa",Germany,Also known as Porsche 911
Porsche,911 Speedster,2011–2012,Cabriolet,Germany,Limited production
Porsche,911 Sport Classic,2007-2010,Coupé,Germany,Limited to 250 units
Porsche,991,2013–2019,"Coupé, Cabriolet, Targa",Germany,Also known as Porsche 911
Porsche,911 Carrera T,2018–2019,Coupé,Germany,
Porsche,911 GT3 Touring Package,2018–2019,Coupé,Germany,
Porsche,911 R,2016,Coupé,Germany,Limited production
Porsche,911 Turbo S Exclusive Series,2018–2019,"Coupé, Cabriolet",Germany,Limited production
Porsche,911 GT2 RS Clubsport,2018–2019,Coupé,Germany,Racecar
Porsche,911 Speedster,2019,Cabriolet,Germany,Limited production
Porsche,992,2019-present,"Coupé, Cabriolet, Targa",Germany,Also known as Porsche 911
Porsche,911 Dakar,2023-present,Coupé,Germany,
Porsche,911 S/T,2023-present,Coupé,Germany,"Limited to 1,963 units"
Porsche,911 GT3 R Rennsport (992),2023,Coupé,Germany,"Limited to 77 units, track car only"
Porsche,Boxster,1996–2016,Roadster,Germany,
Porsche,Boxster Spyder,2015–2016,Convertible,Germany,
Porsche,Cayman,2005–2016,Coupé,Germany,
Porsche,Cayman GT4,2015–2016,Coupé,Germany,
Porsche,718 Boxster,2016–2024,Roadster,Germany,
Porsche,718 Boxster GTS,2019-2024,Roadster,Germany,
Porsche,718 Spyder,2020-2024,Roadster,Germany,
Porsche,718 Spyder RS,2023-2024,Roadster,Germany,Limited Production
Porsche,718 Cayman,2016–2024,Coupé,Germany,
Porsche,718 Cayman GTS,2019-2024,Coupé,Germany,
Porsche,718 Cayman GT4,2020-2024,Coupé,Germany,
Porsche,718 Cayman GT4 RS,2022-2024,Coupé,Germany,Limited production
Porsche,918 Spyder,2013-2015,Roadster,Germany,Limited production
Porsche,Carrera GT,2003–2007,Roadster,Germany,"MSRP of US$448,000, limited production"
Porsche,Panamera,2010–present,"4-door Hatchback, Sport Turismo",Germany,
Porsche,Taycan,2019–present,"4-door Electric Coupé, Cross Turismo",Germany,
Porsche,Taycan Turbo GT,2024,4-door Electric Coupé,Germany,Limited Production
Praga,Bohema,2023,Coupé,Czech Republic,Limited Production
Puritalia,427,2015,Roadster,Italy,Limited production
Puritalia,Berlinetta Hybrid,2019-,Coupé,Italy,Limited production
Qiantu Motor,K50,2017–present,Coupé,China,
Qvale,Mangusta,1999-2002,Roadster,Italy/United States,
Radical,RXC GT,2014–present,Coupé,United Kingdom,Renamed from RXC Turbo in 2017
Radical,Rapture,2019,Roadster,United Kingdom,
Radical,SR3,2002-present,Roadster,United Kingdom,
Radical,SR3 XXR,2023,Roadster,United Kingdom,Track car only
Raesr,Tachyon Speed,2017,Electric Supercar,United States,
Red Bull,Red Bull RB17,2025,Coupé,,"Limited to 50 units, this track-only hypercar developed in-house by Red Bull Advanced Technologies (RBAT) and chief technical officer - Adrian Newey himself."
Renault,15/17,1971-1979,Fastback Coupé,France,
Renault,Alpine GTA/A610,1984-1995,Coupé,France,
Renault,Clio V6 Renault Sport,1999-2006,Hacthback,France,
Renault,Fuego,1980-1992,Coupé,France,
Renault,Spider,1996-1999,Roadster,France,
Renault,Wind,2010-2013,Coupé Convertible,France,
Renault,Mégane R.S.,2004–2023,Hatchback,France,
Rezvani,Beast,2015–present,"Coupé, Targa, Speedster",United States,
Rhino,RR01,2024,Coupè,Lithuania,
Rimac,Concept One,2013-2017,Coupé,Croatia,"Electric sports car, limited production"
Rimac,Nevera,2021-present,Coupé,Croatia,"Electric sports car, limited to 150 units"
Rimac,Nevera R,2025,Coupé,Croatia,Limited to 40 units
RMC,Scorpion,2008,Roadster,United States,"Hydrogen-powered, limited to 200 units"
Rossion,Q1,2008-2018,Coupè,United States,
Saleen,S7,2000-2007,Coupé,United States,Limited production
Saleen,S1,2018,Coupé,United States,
Saturn,Sky,2007-2009,Roadster,United States,
Savage Rivale,Roadyacht GTS,2009,Sedan,Dutch,
Sbarro,GT1,1999,Coupé,Switzerland,
Sbarro,Alcador,1995-2009,Coupé,Switzerland,
Scuderia Cameron Glickenhaus,SCG 003C/ CS/ S,2014–present,"Supercar, Racecar",United States,Limited production
Scuderia Cameron Glickenhaus,SCG 004,2021,Coupé,United States,Limited production
Scion,Scion FR-S,2012–2016,Coupé,Japan,"The same as the Toyota 86, except with HD audio on all models"
SEAT,850 Spider,1966-1974,Roadster,Spain,
Shelby,Series 1,1998-2005,Roadster,United States,
SIN,R1,2015–Present,Coupé,Bulgaria,
SP Automotive,Chaos,2022,Coupè,Greek,
Spada,Codatronca TS,2008-,Coupé,Italy,Limited production
Spada,Codatronca Monza,2010-,Speedster,Italy,One-off model
Spectre,R42,1995-1998,Coupé,England,
Spyker,C8 Double 12S,2002–2007,Coupé,Dutch,
Spyker,C8 Laviolette,2001–2009,"Coupé, Spyder",Dutch,
Spyker,C8 Aileron,2009–2016,"Coupé, Spyder",Dutch,
Spyker,C8 Preliator,2016–present,"Coupé, Spyder",Dutch,
Spyker,C12 La Turbie,2006,Coupé,Dutch,
Spyker,C12 Zagato,2008,Coupé,Dutch,One-off model
SSC North America,Ultimate Aero TT,2006-2013,Coupé,United States,Limited production
SSC North America,Tuatara,2020-present,Coupé,United States,Limited production
SRT,Chrysler Crossfire SRT,2005-2006,"Roadster,Coupé",United States,
SRT,Dodge Viper SRT,2006-2010,"Roadster, Coupé",United States,Renamed the SRT Viper
SRT,Viper,2012–2017,"Roadster, Coupé",United States,Replaced the Dodge and Chrysler Vipers
SS,90,1935,Roadster,England,
Studebaker,Avanti,1962-1963,Coupé,United States,
Sunbeam,Alpine,1953-1975,Roadster,England,
Sylva,Fury,1991-1994,Roadster,England,
Sylva,J15,2008-2010,Roadster,England,
Sylva,Jester,1998-2016,Roadster,England,
Sylva,Leader,1985,Roadster,England,
Sylva,Mojo,2000,Roadster,England,
Sylva,Mojo 2,2004–Present,Roadster,England,
Sylva,Mojo SE,2007–Present,Roadster,England,
Sylva,Phoenix,1988-1999,Roadster,England,
Sylva,R1ot,2005,Roadster,England,Also known as Riot
Sylva,Star,1982,Roadster,England,
Sylva,Striker,1988-1999,Roadster,England,
Sylva,Stylus,1994-1996,Roadster,England,
Subaru,Alcyone,1985-1996,Coupé,Japan,"First generation named ""XT"", second generation named ""SVX"""
Subaru,BRZ,2012–present,Coupé,Japan,
Subaru,WRX,1992–2014 2014–present,Sport compact,Japan,
Tata Motors,TaMo Racemo,2017–present,Coupé,India,
Tauro,V8,2012–Present,"Roadster, Coupé, Spyder",Spain,
SSZ Motorcars,SSZ Stradale,1984-1999,Coupé,United States,
TMC Costin,Costin,1983-1987,"Roadster, Coupé",Ireland,
Techrules,AT96,2016,Coupé,China,
Tesla,Roadster,2008-2012,Roadster,United States,
Tesla,Model S Plaid,2021–present,Sports Sedan,United States,
Tesla,Model 3 Performance,2018–present,Sports Sedan,United States,
Touring Superleggera,Sciadipersia,2018–present,"Coupé, Cabriolet",Italy,Limited production
Touring Superleggera,Aero 3,2021,Coupé,Italy,Limited production
Touring Superleggera,Arese RH95,2021,Coupé,Italy,"Limited to 18 units, to celebrate its 95th anniversary"
Touring Superleggera,Veloce12,2024,Coupé,Italy,"Limited to 30 units, based on Ferrari 550 Maranello"
Toroidion,1MW,2022,Electric Supercar,Finland,
Toyota,Sports 800,1965-1969,"Roadster, Coupé",Japan,
Toyota,2000GT,1967-1970,"Roadster, Coupé",Japan,
Toyota,Celica,1970-2006,"Roadster, Coupé",Japan,
Toyota,MR2,1984-1999,"Roadster, Coupé",Japan,
Toyota,MR-S,1999-2007,Roadster,Japan,
Toyota,AE86,1984-1987,"Coupé, Hatchback",Japan,"Also called ""Corolla Levin"" or ""Sprinter Trueno"""
Toyota,86,2012–present,Coupé,Japan,"Also called ""Subaru BRZ"""
Toyota,GR Corolla (E210),2022-,Hatchback,"Japan, United States",
Toyota,GR Yaris,2020-,Hatchback,Japan,WRC Homologation car
Toyota,Paseo,1991-1999,Coupe,Japan,
Toyota,Soarer,1981-2010,"Coupe, Convertible",Japan,"Also Called ""Lexus SC"" Since 1991-2005"
Toyota,Supra,1978-2002,Coupé,Japan,
Toyota,GR Supra,2019-,Coupé,Japan,
Toyota,GR Super Sport,2018,Coupé,Japan,Concept car
Trion,Nemesis,2016,Coupé,United States,
Tushek,TS900H,2019,Coupé,Slovenia,
Tuthill Porsche,GT One,2024,Coupé,United Kingdom,"Planned to build 22 units, based on Porsche 911 GT1"
TVR,Tuscan,1967-1971,Coupé,England,
TVR,Sagaris,2005-2006,Coupe,England,
TVR,Tuscan Speed Six,1999-2006,"Targa, Convertible",England,
TVR,Typhon,2002,Coupé,England,There are only 3 road-legal cars produced
TVR,Griffith,"1991-2002, 2017–present",Coupé,England,
TVR,Cerbera,1996-2003,Coupé,England,
TVR,Chimaera,1992-2003,Roadster,England,
TVR,Tamora,2002-2006,Roadster,England,
TVR,T350,2002-2006,Coupé,England,
Ultima,GTR,2000-2015,Coupé,United Kingdom,
Ultima,Can-Am,2001-2015,Convertible,United Kingdom,
Ultima,Evolution,2015–present,"Coupé, Convertible",United Kingdom,
Ultima,RS,2019-,Coupé,United Kingdom,
Vauxhall,VX220,2000-2005,Roadster,England,
Vega Innovations,EVX,2022,Electric Supercar,Sri Lanka,
Veritas,RS-III,2009,Roadster,Germany,
Vector,M12,1995-1999,Coupé,United States,Limited to 17 units
Vencer,Sarthe,2015–present,Coupé,Dutch,
Venturi,400 GT,1994-1997,Coupé,France,
Venturi,300 GTR,1991-2000,Coupé,France,
Venturi,Fétish,2004–2007,Electric Sports Car,France,
VLF Automotive,Force 1 V10,2016-2017,"Coupé, Roadster",United States,Limited production
Volkswagen,Karmann Ghia,1955-1974,"Coupé, Cabriolet",Germany,
Volkswagen,Scirocco R,2009-2017,Hatchback,Germany,
Volkswagen,W12,1997-2001,"Coupé, Roadster",Germany,Concept car
Volkswagen,Passat R36,2007-2010,"Sports Sedan, Sports Wagon",Germany,
Volkswagen,Passat CC,2008-2017,4-door Coupé,Germany,
Volkswagen,Arteon R,2021-present,4-door Coupé/ Shooting Brake,Germany,
Volkswagen,I.D. R,2018,Coupé,Germany,First electric racing car prototype designed as part of Volkswagen's I.D. Project
VUHL,05,2008-2017,Roadster,México,
Weber Sportscars,Faster One (F1),2008,Coupé,Switzerland,
Westfield,FW400,1998,Roadster,England,
Westfield,Megablade,2001,Roadster,England,
Westfield,Megabusa,2000–Present,Roadster,England,
Westfield,SDV,2006–Present,Roadster,England,
Westfield,SE,1992,Roadster,England,
Westfield,SEi,1992,Roadster,England,
Westfield,SEight,1991-2010,Roadster,England,
Westfield,Westfield XI,1982–2022,Roadster,England,
Westfield,XTR2,2001-2010,Roadster,England,
Westfield,XTR4,2005-2010,Roadster,England,
Wiesmann,MF3,1993-2011,Roadster,Germany,
Wiesmann,GT MF4,2003-2007,"Coupé, Roadster",Germany,
Wiesmann,MF5,2008-2014,"Coupé, Roadster",Germany,
W Motors,Fenyr SuperSport,2018–present,Coupé,Lebanon,Limited to 25 units
W Motors,Lykan HyperSport,2013-2017,Coupé,Lebanon,Limited to seven units
Yamaha,Yamaha OX99-11,1992,Coupé,Japan,Only three prototypes were built
Yangwang,U9,2024,Coupé,China,
Zagato,TZ3 Corsa,2010,Coupé,Italy,One-off model
Zagato,TZ3 Stradale,2011,Coupé,Italy,Limited production
Zagato,Mostro,2015,Coupé,Italy,Limited to five units
Zagato,Mostro Barchetta,2022,Roadster,Italy,Limited to five units
Zagato,IsoRivolta GTZ,2021,Coupé,Italy,Limited to 19 units
Zender,Fact 4 Prototype,1989,Coupé,Germany,
Zenos,E10,2015-2016,Roadster,England,
Zenvo,ST1,2009-2016,Coupé,Denmark,
Zenvo,TS1 GT,2016–present,Coupé,Denmark,Limited production
Zenvo,TSR,2016–2019,Racecar,Denmark,Limited production
Zenvo,TSR-S,2018–present,Coupé,Denmark,Limited production
Zenvo,Aurora,2025,Coupé,Denmark,Limited to 100 units
